LHCBEAM/MOMENTUM,LHCBEAM/MOMENTUM
X,Y
0.0,450.0
1.0,450.01
2.0,450.04
3.0,450.0899
4.0,450.1599
5.0,450.2498
6.0,450.3597
7.0,450.4896
8.0,450.6395
9.0,450.8093
10.0,450.9992
11.0,451.209
12.0,451.4388
13.0,451.6886
14.0,451.9584
15.0,452.2481
16.0,452.5579
17.0,452.8876
18.0,453.2373
19.0,453.607
20.0,453.9967
21.0,454.4064
22.0,454.836
23.0,455.2856
24.0,455.7553
25.0,456.2449
26.0,456.7544
27.0,457.284
28.0,457.8336
29.0,458.4031
30.0,458.9926
31.0,459.6021
32.0,460.2316
33.0,460.881
34.0,461.5505
35.0,462.2399
36.0,462.9493
37.0,463.6787
38.0,464.4281
39.0,465.1975
40.0,465.9868
41.0,466.7962
42.0,467.6255
43.0,468.4748
44.0,469.3441
45.0,470.2333
46.0,471.1426
47.0,472.0718
48.0,473.0211
49.0,473.9903
50.0,474.9794
51.0,475.9886
52.0,477.0178
53.0,478.0669
54.0,479.136
55.0,480.2251
56.0,481.3342
57.0,482.4633
58.0,483.6123
59.0,484.7814
60.0,485.9704
61.0,487.1794
62.0,488.4084
63.0,489.6574
64.0,490.9263
65.0,492.2153
66.0,493.5242
67.0,494.8531
68.0,496.202
69.0,497.5708
70.0,498.9597
71.0,500.3685
72.0,501.7974
73.0,503.2462
74.0,504.715
75.0,506.2037
76.0,507.7125
77.0,509.2412
78.0,510.79
79.0,512.3587
80.0,513.9474
81.0,515.556
82.0,517.1847
83.0,518.8333
84.0,520.502
85.0,522.1906
86.0,523.8992
87.0,525.6278
88.0,527.3763
89.0,529.1449
90.0,530.9334
91.0,532.7419
92.0,534.5704
93.0,536.4189
94.0,538.2873
95.0,540.1758
96.0,542.0842
97.0,544.0126
98.0,545.961
99.0,547.9294
100.0,549.9178
101.0,551.9261
102.0,553.9544
103.0,556.0028
104.0,558.0711
105.0,560.1593
106.0,562.2676
107.0,564.3958
108.0,566.5441
109.0,568.7123
110.0,570.9005
111.0,573.1087
112.0,575.3368
113.0,577.585
114.0,579.8531
115.0,582.1412
116.0,584.4493
117.0,586.7774
118.0,589.1255
119.0,591.4935
120.0,593.8816
121.0,596.2896
122.0,598.7176
123.0,601.1656
124.0,603.6336
125.0,606.1215
126.0,608.6294
127.0,611.1574
128.0,613.7053
129.0,616.2731
130.0,618.861
131.0,621.4689
132.0,624.0967
133.0,626.7445
134.0,629.4123
135.0,632.1001
136.0,634.8079
137.0,637.5356
138.0,640.2834
139.0,643.0511
140.0,645.8388
141.0,648.6465
142.0,651.4742
143.0,654.3218
144.0,657.1895
145.0,660.0771
146.0,662.9847
147.0,665.9123
148.0,668.8599
149.0,671.8274
150.0,674.815
151.0,677.8225
152.0,680.85
153.0364,684.0056
157.0364,696.3224
161.0364,708.861
165.0364,721.6255
169.0364,734.6197
173.0364,747.8479
177.0364,761.3144
181.0364,775.0233
185.0364,788.9791
189.0364,803.1862
193.0364,817.6491
197.0364,832.3724
201.0364,847.3609
205.0364,862.6192
209.0364,878.1524
213.0364,893.9652
217.0364,910.0627
221.0364,926.4502
225.0364,943.1327
229.0364,960.1156
233.0364,977.4043
237.0364,995.0044
241.0364,1012.9213
245.0364,1031.1609
249.0364,1049.7289
253.0364,1068.6313
257.0364,1087.8741
261.0364,1107.4633
265.0364,1127.4054
269.0364,1147.7064
273.0364,1168.3731
277.0364,1189.4119
281.0364,1210.8296
285.0364,1232.6329
289.0364,1254.8288
293.0364,1277.4244
296.5996,1297.8947
297.0,1300.2136
301.0,1323.3768
305.0,1346.5399
309.0,1369.7031
313.0,1392.8662
317.0,1416.0294
321.0,1439.1926
325.0,1462.3557
329.0,1485.5189
333.0,1508.682
337.0,1531.8452
341.0,1555.0084
345.0,1578.1715
349.0,1601.3347
353.0,1624.4978
357.0,1647.661
361.0,1670.8241
365.0,1693.9873
369.0,1717.1505
373.0,1740.3136
377.0,1763.4768
381.0,1786.6399
385.0,1809.8031
389.0,1832.9662
393.0,1856.1294
397.0,1879.2926
401.0,1902.4557
405.0,1925.6189
409.0,1948.782
413.0,1971.9452
417.0,1995.1084
421.0,2018.2715
425.0,2041.4347
429.0,2064.5978
433.0,2087.761
437.0,2110.9241
441.0,2134.0873
445.0,2157.2505
449.0,2180.4136
453.0,2203.5768
457.0,2226.7399
461.0,2249.9031
465.0,2273.0662
469.0,2296.2294
473.0,2319.3926
477.0,2342.5557
481.0,2365.7189
485.0,2388.882
489.0,2412.0452
493.0,2435.2084
497.0,2458.3715
501.0,2481.5347
505.0,2504.6978
509.0,2527.861
513.0,2551.0241
517.0,2574.1873
521.0,2597.3505
525.0,2620.5136
529.0,2643.6768
533.0,2666.8399
537.0,2690.0031
541.0,2713.1662
545.0,2736.3294
549.0,2759.4926
553.0,2782.6557
557.0,2805.8189
561.0,2828.982
565.0,2852.1452
569.0,2875.3084
573.0,2898.4715
577.0,2921.6347
581.0,2944.7978
585.0,2967.961
589.0,2991.1241
593.0,3014.2873
597.0,3037.4505
601.0,3060.6136
605.0,3083.7768
609.0,3106.9399
613.0,3130.1031
617.0,3153.2662
621.0,3176.4294
625.0,3199.5926
629.0,3222.7557
633.0,3245.9189
637.0,3269.082
641.0,3292.2452
645.0,3315.4084
649.0,3338.5715
653.0,3361.7347
657.0,3384.8978
661.0,3408.061
665.0,3431.2241
669.0,3454.3873
673.0,3477.5505
677.0,3500.7136
681.0,3523.8768
685.0,3547.0399
689.0,3570.2031
693.0,3593.3662
697.0,3616.5294
701.0,3639.6926
705.0,3662.8557
709.0,3686.0189
713.0,3709.182
717.0,3732.3452
721.0,3755.5084
725.0,3778.6715
729.0,3801.8347
733.0,3824.9978
737.0,3848.161
741.0,3871.3241
745.0,3894.4873
749.0,3917.6505
753.0,3940.8136
757.0,3963.9768
761.0,3987.1399
765.0,4010.3031
769.0,4033.4662
773.0,4056.6294
777.0,4079.7926
781.0,4102.9557
785.0,4126.1189
789.0,4149.282
793.0,4172.4452
797.0,4195.6084
801.0,4218.7715
805.0,4241.9347
809.0,4265.0978
813.0,4288.261
817.0,4311.4241
821.0,4334.5873
825.0,4357.7505
829.0,4380.9136
833.0,4404.0768
837.0,4427.2399
841.0,4450.4031
845.0,4473.5662
849.0,4496.7294
